ObjectID,GlobalID,Date and Start Time,Observer Name,Other Observer Name,Year,Route ID,Route Type,Visit Number,Start Temperature (Celcius),Wind Start,Sky Start,End of Survey. Fill this out before nest searching,Sky End,End Temperature (Celcius),Wind End,Route Notes,CreationDate,Creator,EditDate,Editor,x,y
88,569b00a4-5649-45b5-91db-6a8370a1e767,6/5/2024 11:45:00 AM,Emily Hughie,,Y3,UT-C01,R,V2,10,2,Clear,09:25,Clear,15,2,,6/5/2024 7:14:45 PM,reggleston,6/5/2024 7:14:45 PM,reggleston,-113.720693949082,41.5697037224167
89,7e2f8fd5-a245-442c-b6fb-53d432a945c9,6/6/2024 11:32:00 AM,Will Harrod,,Y3,ID-C28,R,V2,12,2,Clear,08:57,Clear,21,1,,6/6/2024 2:56:57 PM,will.harrod,6/6/2024 2:56:57 PM,will.harrod,-113.757744934674,42.0892116835296
90,09a9a205-506e-4927-ac81-89b7d95ae90c,6/5/2024 11:43:00 AM,Rory Eggleston,,Y3,UT-C06,R,V2,11,1,Clear,09:22,Clear,21,1,,6/7/2024 1:41:52 AM,reggleston,6/7/2024 1:41:52 AM,reggleston,-114.005326777803,41.4171401504813
91,df6bb495-3248-43c6-8311-013c72ce7657,6/5/2024 11:41:00 AM,Holden Jackovich,,Y3,UT-B06,B,V2,10,1,Clear,09:16,Clear,18,1,,6/7/2024 2:59:34 AM,will.harrod,6/7/2024 2:59:34 AM,will.harrod,-113.941701629613,41.4922817412512
92,09f2f954-f909-4a45-b0d0-25a70c512504,6/7/2024 11:47:00 AM,Thomas Kroot,,Y3,UT-B22,B,V2,7,1,Cloudy,08:05,Partly Cloudy,10,1,Fighter jets flew by in the last part of the last point's last minute,6/7/2024 2:07:37 PM,will.harrod,6/7/2024 2:07:37 PM,will.harrod,-113.9404478,41.68827691
93,0283baf1-ae87-4369-b311-e065857ab32e,6/7/2024 11:51:00 AM,Ben Zimmermann,,Y3,ID-B03,B,V2,17,0,Partly Cloudy,08:48,Partly Cloudy,21,1,,6/7/2024 2:49:34 PM,will.harrod,6/7/2024 2:49:34 PM,will.harrod,-113.27484071,42.09828064
94,1f2a446d-b7df-4845-ab2c-3588c76b023c,6/3/2024 12:12:00 PM,Will Harrod,,Y1,ID-B07,B,V2,10,1,Cloudy,09:02,Drizzle,15,1,,6/7/2024 5:44:23 PM,will.harrod,6/7/2024 5:44:23 PM,will.harrod,-113.44582705,42.11776378
95,cf315d59-1623-4d98-9548-5328ebb9f7b6,6/4/2024 11:37:00 AM,Will Harrod,,Y1,ID-C04,R,V2,12,1,Partly Cloudy,08:18,Partly Cloudy,15,2,,6/7/2024 5:44:24 PM,will.harrod,6/7/2024 5:44:24 PM,will.harrod,-112.96659208,42.05703351
96,c3732ff7-265a-4e64-8e00-806cdafd0b1d,6/5/2024 11:33:00 AM,Will Harrod,,Y1,UT-C05,R,V2,12,1,Clear,08:48,Clear,17,1,,6/7/2024 5:44:26 PM,will.harrod,6/7/2024 5:44:26 PM,will.harrod,-113.93449616,41.53403079
97,f857bfbb-0e57-4751-8640-bd9de1cb3d7f,6/7/2024 12:00:00 PM,Will Harrod,,Y3,UT-C08,R,V2,17,2,Partly Cloudy,,Clear,20,2,,6/7/2024 5:44:27 PM,will.harrod,6/7/2024 5:44:27 PM,will.harrod,-113.96556366,41.79047553
98,f804acb2-fc91-4ade-9548-6652e75bd335,6/7/2024 12:03:00 PM,Will Harrod,,Y3,ID-B23,B,V2,10,1,Partly Cloudy,09:32,Clear,20,2,,6/9/2024 11:24:26 AM,will.harrod,6/9/2024 11:24:26 AM,will.harrod,-113.154655974464,42.0610999782033
99,a56a893e-9692-4e63-81da-e2c08ba05649,6/10/2024 11:37:00 AM,Thomas Kroot,,Y3,UT-C30,R,V2,5,2,Partly Cloudy,09:01,Partly Cloudy,9,3,,6/10/2024 3:01:43 PM,will.harrod,6/10/2024 3:01:43 PM,will.harrod,-113.92358653,41.81164119
100,1ced05f2-fdf9-4821-bb30-6a4417b25ff4,6/10/2024 11:34:00 AM,Will Harrod,,Y3,UT-C25,R,V2,15,3,Cloudy,08:54,Clear,20,4,Did not have rangefinder ,6/10/2024 3:05:18 PM,will.harrod,6/10/2024 3:05:18 PM,will.harrod,-113.933573808732,41.8219661956725
101,066438ce-6629-4454-8ada-aa70675ce176,6/10/2024 12:22:00 PM,Ben Zimmermann,,Y3,ID-B28,B,V2,14,0,Partly Cloudy,09:43,Clear,19,2,,6/10/2024 3:44:34 PM,will.harrod,6/10/2024 3:44:34 PM,will.harrod,-113.74447855,42.00787461
102,a589a4f8-9a03-4efe-8e05-ad261fbae8c2,6/10/2024 12:35:00 PM,Rory Eggleston,,Y3,UT-C17,R,V2,9,2,Partly Cloudy,09:22,Clear,14,3,,6/10/2024 5:58:55 PM,reggleston,6/10/2024 5:58:55 PM,reggleston,-113.637983522181,41.8654809168986
103,8371b535-68e5-466f-96f3-3aba55c469c0,6/10/2024 12:18:00 PM,Will Harrod,,Y3,UT-C15,R,V2,55,3,Cloudy,10:37,Clear,70,3,Alex! :),6/10/2024 6:30:08 PM,will.harrod,6/10/2024 6:30:08 PM,will.harrod,-113.970734873004,41.8197990415268
104,909c81b0-d144-4dec-9c24-d6d0009c1d29,6/7/2024 12:12:00 PM,Emily Hughie,,Y3,ID-C23,R,V2,14,1,Cloudy,09:45,Clear,20,2,,6/10/2024 9:11:23 PM,reggleston,6/10/2024 9:11:23 PM,reggleston,-113.149904487131,42.0501632562262
105,50e8dfb7-5fbe-49db-b7ae-7b0b497a7eec,6/10/2024 12:21:00 PM,Emily Hughie,,Y3,UT-B17,B,V2,14,1,Cloudy,08:39,Clear,19,1,,6/10/2024 9:11:26 PM,reggleston,6/10/2024 9:11:26 PM,reggleston,-113.613571261644,41.9026011543891
106,c09d36a9-5f3c-451e-b6db-a8f18088dd17,6/11/2024 11:32:00 AM,Thomas Kroot,,Y3,ID-B26,B,V2,4,1,Clear,09:09,Clear,10,2,,6/11/2024 3:07:47 PM,will.harrod,6/11/2024 3:07:47 PM,will.harrod,-114.06388157,42.22223024
107,cefa5938-49ab-41ee-aee1-1cc9707b4595,6/11/2024 11:58:00 AM,Rory Eggleston,,Y3,ID-B13,B,V2,7,0,Clear,09:11,Clear,19,1,,6/11/2024 4:34:40 PM,reggleston,6/11/2024 4:34:40 PM,reggleston,-114.130552662643,42.1768393088525
108,49c3ec32-9f13-45a1-a7d0-698f7930d3c0,6/11/2024 11:36:00 AM,Will Harrod,,Y3,ID-C26,R,V2,55,2,Clear,08:34,Clear,75,2,Alex! :),6/11/2024 8:31:13 PM,will.harrod,6/11/2024 8:31:13 PM,will.harrod,-113.949466510741,42.2075706514943
109,52c4a01b-8929-4e4b-99a0-3c2535450979,6/10/2024 11:39:00 AM,Will Harrod,,Y3,UT-C19,R,V2,12,1,Cloudy,08:18,Clear,15,1,Point 13 inaccessible because of fence,6/11/2024 9:34:57 PM,will.harrod,6/11/2024 9:34:57 PM,will.harrod,-113.61075029,41.95941036
110,cba50824-9803-4b5b-802e-78dec5758ba9,6/11/2024 11:44:00 AM,Will Harrod,,Y3,ID-C19,R,V2,10,1,Clear,08:46,Clear,18,1,,6/11/2024 9:34:58 PM,will.harrod,6/11/2024 9:34:58 PM,will.harrod,-114.04311467,42.20488071
111,7b6d4b12-5937-4644-a053-fc242ddfadc8,6/11/2024 12:34:00 PM,Ben Zimmermann,,Y3,ID-B16,B,V2,12,2,Clear,22:10,Clear,20,2,,6/11/2024 10:50:31 PM,will.harrod,6/11/2024 10:50:31 PM,will.harrod,-113.99133986,42.27137995
112,5b3034c5-058d-40e3-aab9-e0d8aeb66a4b,6/7/2024 12:11:00 PM,Holden Jackovich,,Y3,ID-C03,R,V2,10,1,Partly Cloudy,09:19,Partly Cloudy,12,1,,6/12/2024 2:34:32 PM,will.harrod,6/12/2024 2:34:32 PM,will.harrod,-113.22647103119,42.0917626563852
113,7717421a-e0b4-4fe2-9d80-56d80d6109ec,6/10/2024 12:18:00 PM,Holden Jackovich,,Y3,ID-B19,B,V2,11,0,Partly Cloudy,10:15,Clear,22,1,,6/12/2024 2:34:34 PM,will.harrod,6/12/2024 2:34:34 PM,will.harrod,-113.683777624732,41.9788245587755
114,3b8131ec-a1df-46b4-85d3-02f7c109b655,6/11/2024 11:34:00 AM,Holden Jackovich,,Y3,ID-C13,R,V2,9,1,Clear,08:20,Clear,15,1,,6/12/2024 2:34:37 PM,will.harrod,6/12/2024 2:34:37 PM,will.harrod,-114.059883244442,42.2038629837727
115,d8887d6d-9e8e-4c54-bd59-cd230a40e7b4,6/14/2024 11:52:00 AM,Ben Zimmermann,,Y3,UT-C22,R,V2,20,0,Partly Cloudy,08:02,Partly Cloudy,22,1,,6/14/2024 2:02:40 PM,will.harrod,6/14/2024 2:02:40 PM,will.harrod,-113.90928732,41.69358467
116,74d7b468-be44-4b70-9cba-4260b02203c0,6/14/2024 11:31:00 AM,Thomas Kroot,,Y3,UT-C27,R,V2,5,1,Partly Cloudy,08:35,Partly Cloudy,11,1,,6/14/2024 4:31:29 PM,will.harrod,6/14/2024 4:31:29 PM,will.harrod,-114.00684855,41.94931599
117,3e19b26b-3ab8-4528-a4fd-6d2c7b6c7a69,6/11/2024 11:30:00 AM,Emily Hughie,,Y3,ID-C16,R,V2,12,2,Clear,08:45,Clear,20,2,,6/14/2024 9:55:14 PM,reggleston,6/14/2024 9:55:14 PM,reggleston,-113.953832253675,42.2254910604473
118,a40707c4-68d0-41ea-9a56-32d5d62e6278,6/14/2024 2:25:00 PM,Emily Hughie,,Y3,UT-C16,R,V2,15,0,Cloudy,10:55,Clear,20,0,First 9 points of survey accidentally got discarded :(,6/14/2024 9:55:16 PM,reggleston,6/14/2024 9:55:16 PM,reggleston,-113.960919973278,41.9113854317254
119,abf5dd6b-8024-4803-a47f-1f4d2813e3f3,6/11/2024 11:35:00 AM,Will Harrod,,Y3,ID-B19,B,V2,7,2,Clear,08:49,Clear,20,1,,6/15/2024 2:51:47 PM,will.harrod,6/15/2024 2:51:47 PM,will.harrod,-114.047478782119,42.2316912375784
120,29ffe833-13d6-47bd-b4ad-e066edfab4c6,6/12/2024 11:45:00 AM,Will Harrod,,Y3,UT-B16,B,V2,10,1,Clear,09:04,Clear,22,1,,6/15/2024 2:51:50 PM,will.harrod,6/15/2024 2:51:50 PM,will.harrod,-113.984896643193,41.863698028067
121,59917ccc-9461-4cfc-ad03-4a98e300e09d,6/14/2024 11:39:00 AM,Will Harrod,,Y3,ID-C09,R,V2,12,1,Partly Cloudy,08:57,Partly Cloudy,21,2,,6/15/2024 2:51:51 PM,will.harrod,6/15/2024 2:51:51 PM,will.harrod,-113.879465041788,42.0056593884174
122,b1e5fb7e-6b91-47cf-8687-f088cfb6027b,6/14/2024 11:37:00 AM,Holden Jackovich,,Y3,ID-B15,B,V2,11,1,Partly Cloudy,09:45,Partly Cloudy,14,1,,6/15/2024 9:49:22 PM,will.harrod,6/15/2024 9:49:22 PM,will.harrod,-113.899495305382,42.055949204657
123,8aa526dd-0b5a-4edd-b022-4d0f815e3b16,6/18/2024 12:05:00 PM,Emily Hughie,,Y3,UT-C16,R,V2,0,0,Clear,09:36,Clear,12,0,,6/18/2024 5:08:57 PM,reggleston,6/18/2024 5:08:57 PM,reggleston,-113.966796311021,41.9138735463658
124,eb32ea70-c4bd-4e2e-a564-a39667022a24,6/18/2024 11:44:00 AM,Will Harrod,,Y3,UT-C24,R,V2,3,4,Clear,09:16,Clear,8,3,,6/18/2024 8:36:03 PM,will.harrod,6/18/2024 8:36:03 PM,will.harrod,-113.948446277591,41.7884624325855
125,7a5fb679-5a09-4cb4-817d-63c819005747,6/19/2024 11:38:00 AM,Will Harrod,,Y3,ID-C21,R,V2,3,3,Clear,08:53,Clear,13,3, Birds are definitely done breeding here. It’s so quiet.,6/19/2024 2:52:50 PM,will.harrod,6/19/2024 2:52:50 PM,will.harrod,-112.994876190349,42.0252028944087
126,271441d5-a81e-4ba5-a5ea-bd2231969100,6/14/2024 11:44:00 AM,Will Harrod,,Y3,ID-B09,B,V2,18,1,Cloudy,09:00,Clear,20,1,,6/20/2024 3:06:42 PM,will.harrod,6/20/2024 3:06:42 PM,will.harrod,-113.92140363,41.99361125
127,35e834ff-39dd-4aac-995f-2f6e0fe9c9b0,6/24/2024 12:08:00 PM,Holden Jackovich,,Y3,ID-C09,R,V2,15,2,Clear,10:23,Clear,23,1,,7/8/2024 7:52:34 PM,will.harrod,7/8/2024 7:52:34 PM,will.harrod,-113.885411260591,42.0073929645553
