"","Grid.ID","Grid.Type","Visit.ID","Ord.Date","Year","Observer.ID","Mean.MAS","n.Points","Count","n.Observers","Observer.Year","Observer.Experience","Imputed"
"252","UT-B22","B","Y3-V2",158,"Y3","Thomas",80.25,12,1,1,"Thomas Y3",1,FALSE
"253","UT-B24","B","Y1-V1",160,"Y1","Eliza",207.1875,16,30,1,"Eliza Y1",1,FALSE
"254","UT-B24","B","Y1-V2",167,"Y1","Rory",201.4375,16,25,1,"Rory Y1",2,FALSE
"255","UT-B24","B","Y2-V1",144,"Y2","Anna",108.1875,16,36,1,"Anna Y2",1,FALSE
"256","UT-B24","B","Y2-V2",164,"Y2","Thea",170.5,16,41,1,"Thea Y2",2,FALSE
"257","UT-B24","B","Y3-V1",140,"Y3","Thomas",116.0625,16,30,1,"Thomas Y3",1,FALSE
"258","UT-B24","B","Y3-V2",151,"Y3","Emily",104.4375,16,47,1,"Emily Y3",1,FALSE
"259","UT-B25","B","Y1-V1",157,"Y1","Ruger",167,14,12,1,"Ruger Y1",2,FALSE
"260","UT-B25","B","Y1-V2",163,"Y1","Eliza",189.5,14,4,1,"Eliza Y1",1,FALSE
"261","UT-B25","B","Y2-V1",144,"Y2","Devin",175.071428571429,14,5,1,"Devin Y2",1,FALSE
"262","UT-B25","B","Y2-V2",159,"Y2","Andrew",163.071428571429,14,12,1,"Andrew Y2",1,FALSE
"263","UT-B25","B","Y3-V1",134,"Y3","Will",90.3571428571429,14,14,1,"Will Y3",2,FALSE
"264","UT-B25","B","Y3-V2",151,"Y3","Thomas",162,13,23,1,"Thomas Y3",1,FALSE
"265","UT-B27","B","Y1-V1",157,"Y1","Austin",154.75,16,6,1,"Austin Y1",1,FALSE
"266","UT-B27","B","Y1-V2",170,"Y1","Eoin",142.625,16,0,1,"Eoin Y1",1,FALSE
"267","UT-B27","B","Y2-V1",145,"Y2","Trey",117.3125,16,1,1,"Trey Y2",2,FALSE
"268","UT-B27","B","Y2-V2",166,"Y2","Anna",95.3125,16,1,1,"Anna Y2",1,FALSE
"269","UT-B27","B","Y3-V1",134,"Y3","Emily",94.375,16,4,1,"Emily Y3",1,FALSE
"270","UT-B27","B","Y3-V2",149,"Y3","Thomas",35.75,16,0,1,"Thomas Y3",1,FALSE
"271","UT-B30","B","Y1-V1",157,"Y1","Eliza",188.75,16,15,1,"Eliza Y1",1,FALSE
"272","UT-B30","B","Y1-V2",170,"Y1","Keramie",223.1875,16,3,2,"Keramie Y1",1,FALSE
"273","UT-B30","B","Y2-V1",144,"Y2","Thea",193.461538461538,13,17,1,"Thea Y2",2,FALSE
"274","UT-B30","B","Y2-V2",159,"Y2","Devin",151,16,9,1,"Devin Y2",1,FALSE
"275","UT-B30","B","Y3-V1",134,"Y3","Ben",217,16,5,1,"Ben Y3",1,FALSE
"276","UT-B30","B","Y3-V2",149,"Y3","Holden",129.25,16,10,1,"Holden Y3",1,FALSE
"277","UT-C01","R","Y1-V1",158,"Y1","Rory",205.1875,16,34,1,"Rory Y1",2,FALSE
"278","UT-C01","R","Y1-V2",165,"Y1","Eliza",162.25,16,6,1,"Eliza Y1",1,FALSE
"279","UT-C01","R","Y2-V1",142,"Y2","Will",80.1875,16,29,1,"Will Y2",2,FALSE
"280","UT-C01","R","Y2-V2",164,"Y2","Rory",124.461538461538,13,45,1,"Rory Y2",2,FALSE
"281","UT-C01","R","Y3-V1",129,"Y3","Ben",188.4375,16,18,1,"Ben Y3",1,FALSE
"282","UT-C01","R","Y3-V2",156,"Y3","Emily",116.3125,16,18,1,"Emily Y3",1,FALSE
"283","UT-C02","R","Y1-V1",158,"Y1","Ruger",125.6,10,1,1,"Ruger Y1",2,FALSE
"284","UT-C02","R","Y1-V2",165,"Y1","Eoin",142.3,10,8,1,"Eoin Y1",1,FALSE
"285","UT-C02","R","Y2-V1",142,"Y2","Trey",67.5,10,4,1,"Trey Y2",2,FALSE
"286","UT-C02","R","Y2-V2",164,"Y2","Devin",108.4,10,4,1,"Devin Y2",1,FALSE
"287","UT-C02","R","Y3-V1",129,"Y3","Rory",106.4,10,13,1,"Rory Y3",2,FALSE
"288","UT-C02","R","Y3-V2",151,"Y3","Ben",83,10,15,1,"Ben Y3",1,FALSE
"289","UT-C05","R","Y1-V1",156,"Y1","Eoin",130.9375,16,7,1,"Eoin Y1",1,FALSE
"290","UT-C05","R","Y1-V2",164,"Y1","Ruger",172,16,0,1,"Ruger Y1",2,FALSE
"291","UT-C05","R","Y2-V1",141,"Y2","Trey",129,16,13,1,"Trey Y2",2,FALSE
"292","UT-C05","R","Y2-V2",169,"Y2","Anna",140.0625,16,37,1,"Anna Y2",1,FALSE
"293","UT-C05","R","Y3-V1",135,"Y3","Ben",120.5625,16,58,1,"Ben Y3",1,FALSE
"294","UT-C05","R","Y3-V2",156,"Y3","Aidan",93,16,37,1,"Aidan Y3",1,FALSE
"295","UT-C06","R","Y1-V1",156,"Y1","Ruger",170.5625,16,0,1,"Ruger Y1",2,FALSE
"296","UT-C06","R","Y1-V2",164,"Y1","Rory",195.625,16,1,1,"Rory Y1",2,FALSE
"297","UT-C06","R","Y2-V1",155,"Y2","Thea",227.733333333333,15,12,1,"Thea Y2",2,FALSE
"298","UT-C06","R","Y2-V2",169,"Y2","Devin",198.5,16,1,1,"Devin Y2",1,FALSE
"299","UT-C06","R","Y3-V1",135,"Y3","Will",122.1875,16,3,1,"Will Y3",2,FALSE
"300","UT-C06","R","Y3-V2",156,"Y3","Rory",119.8125,16,0,1,"Rory Y3",2,FALSE
"301","UT-C08","R","Y1-V1",160,"Y1","Eoin",137.625,16,12,1,"Eoin Y1",1,FALSE
"302","UT-C08","R","Y1-V2",167,"Y1","Austin",103.6,10,9,1,"Austin Y1",1,FALSE
"303","UT-C08","R","Y2-V1",152,"Y2","Devin",206.1875,16,26,1,"Devin Y2",1,FALSE
"304","UT-C08","R","Y2-V2",169,"Y2","Trey",165.1875,16,30,1,"Trey Y2",2,FALSE
"305","UT-C08","R","Y3-V1",133,"Y3","Will",82.25,16,41,1,"Will Y3",2,FALSE
"306","UT-C08","R","Y3-V2",158,"Y3","Aidan",127.6875,16,26,1,"Aidan Y3",1,FALSE
"307","UT-C15","R","Y1-V1",170,"Y1","Austin",192.125,16,7,1,"Austin Y1",1,FALSE
"308","UT-C15","R","Y1-V2",192,"Y1","Eoin",165.6875,16,8,1,"Eoin Y1",1,FALSE
"309","UT-C15","R","Y2-V1",155,"Y2","Will",144.4375,16,45,1,"Will Y2",2,FALSE
"310","UT-C15","R","Y2-V2",166,"Y2","Devin",168,12,25,1,"Devin Y2",1,FALSE
"311","UT-C15","R","Y3-V1",144,"Y3","Emily",187,16,28,1,"Emily Y3",1,FALSE
"312","UT-C15","R","Y3-V2",161,"Y3","Aidan",167.1875,16,37,1,"Aidan Y3",1,FALSE
"313","UT-C16","R","Y1-V1",192,"Y1","Rory",225.8,15,29,1,"Rory Y1",2,FALSE
"314","UT-C16","R","Y1-V2",195,"Y1","Austin",192.1875,16,1,1,"Austin Y1",1,FALSE
"315","UT-C16","R","Y2-V1",145,"Y2","Will",107.3125,16,38,1,"Will Y2",2,FALSE
"316","UT-C16","R","Y2-V2",166,"Y2","Trey",77.5,6,7,1,"Trey Y2",2,FALSE
"317","UT-C16","R","Y3-V1",137,"Y3","Will",49.875,16,39,1,"Will Y3",2,FALSE
"318","UT-C16","R","Y3-V2",169,"Y3","Emily",144.0625,16,28,1,"Emily Y3",1,FALSE
"319","UT-C17","R","Y1-V1",159,"Y1","Rory",168.545454545455,11,34,1,"Rory Y1",2,FALSE
"320","UT-C17","R","Y1-V2",166,"Y1","Austin",164.111111111111,9,8,1,"Austin Y1",1,FALSE
"321","UT-C17","R","Y2-V1",152,"Y2","Andrew",140.727272727273,11,32,1,"Andrew Y2",1,FALSE
"322","UT-C17","R","Y2-V2",172,"Y2","Devin",135.181818181818,11,23,1,"Devin Y2",1,FALSE
"323","UT-C17","R","Y3-V1",148,"Y3","Will",98.6363636363636,11,33,1,"Will Y3",2,FALSE
"324","UT-C17","R","Y3-V2",161,"Y3","Rory",145.454545454545,11,39,1,"Rory Y3",2,FALSE
"325","UT-C19","R","Y1-V1",159,"Y1","Ruger",234.25,16,20,1,"Ruger Y1",2,FALSE
"326","UT-C19","R","Y1-V2",166,"Y1","Eliza",152.9375,16,3,1,"Eliza Y1",1,FALSE
"327","UT-C19","R","Y2-V1",137,"Y2","Will",101.1875,16,49,1,"Will Y2",2,FALSE
"328","UT-C19","R","Y2-V2",156,"Y2","Rory",50.75,16,59,2,"Rory Y2",2,FALSE
"329","UT-C19","R","Y3-V1",137,"Y3","Holden",115.875,16,14,1,"Holden Y3",1,FALSE
"330","UT-C19","R","Y3-V2",161,"Y3","Aidan",83.9333333333333,15,38,1,"Aidan Y3",1,FALSE
"331","UT-C22","R","Y1-V1",159,"Y1","Eliza",84.5833333333333,12,5,1,"Eliza Y1",1,FALSE
"332","UT-C22","R","Y1-V2",164,"Y1","Austin",160.166666666667,12,0,1,"Austin Y1",1,FALSE
"333","UT-C22","R","Y2-V1",145,"Y2","Thea",126.916666666667,12,12,1,"Thea Y2",2,FALSE
"334","UT-C22","R","Y2-V2",162,"Y2","Devin",124.583333333333,12,5,1,"Devin Y2",1,FALSE
"335","UT-C22","R","Y3-V1",144,"Y3","Thomas",67.0833333333333,12,14,1,"Thomas Y3",1,FALSE
"336","UT-C22","R","Y3-V2",165,"Y3","Ben",76.1666666666667,12,28,1,"Ben Y3",1,FALSE
"337","UT-C24","B","Y1-V1",160,"Y1","Austin",178.4375,16,11,1,"Austin Y1",1,FALSE
"338","UT-C24","B","Y1-V2",167,"Y1","Eoin",104,6,9,1,"Eoin Y1",1,FALSE
"339","UT-C24","B","Y2-V1",138,"Y2","Will",142.9375,16,27,1,"Will Y2",2,FALSE
"340","UT-C24","B","Y2-V2",166,"Y2","Andrew",65.0714285714286,14,31,1,"Andrew Y2",1,FALSE
"341","UT-C24","B","Y3-V1",136,"Y3","Ben",134.6875,16,32,1,"Ben Y3",1,FALSE
"342","UT-C24","B","Y3-V2",169,"Y3","Will",115.1875,16,30,1,"Will Y3",2,FALSE
"343","UT-C25","B","Y1-V1",192,"Y1","Austin",132.083333333333,12,4,1,"Austin Y1",1,FALSE
"344","UT-C25","B","Y1-V2",195,"Y1","Eoin",103.333333333333,12,10,1,"Eoin Y1",1,FALSE
"345","UT-C25","B","Y2-V1",155,"Y2","Andrew",138.076923076923,13,19,1,"Andrew Y2",1,FALSE
"346","UT-C25","B","Y2-V2",166,"Y2","Will",129.142857142857,14,12,1,"Will Y2",2,FALSE
"347","UT-C25","B","Y3-V1",135,"Y3","Rory",131.714285714286,14,35,1,"Rory Y3",2,FALSE
"348","UT-C25","B","Y3-V2",161,"Y3","Will",103.142857142857,14,35,1,"Will Y3",2,FALSE
"349","UT-C27","R","Y1-V1",166,"Y1","Ruger",151.5625,16,26,1,"Ruger Y1",2,FALSE
"350","UT-C27","R","Y1-V2",191,"Y1","Keramie",146.3125,16,5,1,"Keramie Y1",1,FALSE
"351","UT-C27","R","Y2-V1",145,"Y2","Keramie",157.6875,16,26,1,"Keramie Y2",1,FALSE
"352","UT-C27","R","Y2-V2",166,"Y2","Thea",112.375,16,21,1,"Thea Y2",2,FALSE
"353","UT-C27","R","Y3-V1",137,"Y3","Emily",87.9375,16,34,1,"Emily Y3",1,FALSE
"354","UT-C27","R","Y3-V2",165,"Y3","Thomas",85.8125,16,26,1,"Thomas Y3",1,FALSE
"355","UT-C30","R","Y1-V1",192,"Y1","Keramie",163.25,16,30,1,"Keramie Y1",1,FALSE
"356","UT-C30","R","Y1-V2",195,"Y1","Rory",134.333333333333,15,55,1,"Rory Y1",2,FALSE
"357","UT-C30","R","Y2-V1",135,"Y2","Trey",115.307692307692,13,5,1,"Trey Y2",2,FALSE
"358","UT-C30","R","Y2-V2",156,"Y2","Devin",108.6875,16,32,1,"Devin Y2",1,FALSE
"359","UT-C30","R","Y3-V1",148,"Y3","Emily",136.125,16,39,1,"Emily Y3",1,FALSE
"360","UT-C30","R","Y3-V2",161,"Y3","Thomas",102.75,16,14,1,"Thomas Y3",1,FALSE
